subj_idx,stim,response,rt,condition,MotCon,block
2,0.0,1,2.2025,0,0,6
2,0.0,0,2.1222,0,0,6
2,0.5,1,0.7593,0,0,6
2,0.0,1,1.6751,0,0,6
2,0.0,1,0.7206,0,0,6
2,0.0,0,2.8161,0,0,6
2,-0.5,0,2.1357,0,0,6
2,-1.5,0,0.6986,0,0,6
2,1.5,1,0.7624,0,0,6
2,0.0,1,1.0506,0,0,6
2,0.0,0,0.8832,0,0,6
2,0.0,0,0.7310,0,0,6
2,-1.5,0,0.8885,0,0,6
2,0.5,1,1.3109,-1,-1,7
2,-1.5,0,0.8359,-1,1,7
2,0.0,1,1.6285,-1,-1,7
2,0.0,1,1.6792,-1,-1,7
2,-0.5,1,1.7708,-1,-1,7
2,0.0,1,0.9713,-1,-1,7
2,0.0,1,0.9490,-1,-1,7
2,-1.5,0,0.5641,-1,1,7
2,0.0,1,1.1044,-1,-1,7
2,0.0,1,1.1490,-1,-1,7
2,0.0,1,1.3753,-1,-1,7
2,1.5,1,0.8116,-1,-1,7
2,-0.5,0,1.4384,-1,1,7
2,0.0,1,1.5903,-1,-1,7
2,0.0,0,1.4779,-1,1,7
2,0.0,1,1.4933,-1,-1,7
2,-0.5,0,0.8218,-1,1,7
2,0.5,1,0.9056,-1,-1,7
2,0.0,1,1.8860,-1,-1,7
2,0.0,1,1.7591,-1,-1,7
2,1.5,1,0.8181,-1,-1,7
2,0.0,0,0.7801,-1,1,7
2,0.0,0,1.0866,-1,1,7
2,0.0,1,0.7273,-1,-1,7
2,0.0,1,1.0970,0,0,8
2,0.5,1,1.5478,0,0,8
2,0.0,1,1.7263,0,0,8
2,0.0,0,2.0764,0,0,8
2,-0.5,1,1.2376,0,0,8
2,0.0,1,1.7467,0,0,8
2,0.0,0,0.8956,0,0,8
2,0.0,0,0.7069,0,0,8
2,0.0,0,1.2098,0,0,8
2,0.0,0,1.5303,0,0,8
2,0.0,1,2.8287,0,0,8
2,0.0,0,1.1305,0,0,8
2,-1.5,0,0.6856,0,0,8
2,0.5,1,0.7319,0,0,8
2,0.0,0,0.9183,0,0,8
2,0.0,0,1.4016,0,0,8
2,1.5,1,0.6807,0,0,8
2,0.0,0,1.6070,0,0,8
2,1.5,1,0.8362,0,0,8
2,0.0,0,0.8705,0,0,8
2,-1.5,0,0.8584,0,0,8
2,-0.5,0,0.8392,0,0,8
2,-0.5,0,1.0623,0,0,8
2,0.0,1,1.6867,0,0,8
2,0.0,0,1.8349,0,0,8
2,0.0,0,0.9876,1,-1,9
2,-0.5,0,0.8094,1,-1,9
2,0.0,0,1.5816,1,-1,9
2,0.0,0,1.8241,1,-1,9
2,-0.5,0,1.3211,1,-1,9
2,0.0,1,1.5805,1,1,9
2,0.0,0,1.0052,1,-1,9
2,0.0,0,1.4035,1,-1,9
2,1.5,1,0.7376,1,1,9
2,-1.5,0,0.6976,1,-1,9
2,0.0,1,1.5716,1,1,9
2,0.0,0,1.2287,1,-1,9
2,0.0,1,0.8836,1,1,9
2,0.5,1,0.7140,1,1,9
2,1.5,1,1.5700,1,1,9
2,0.0,1,1.0708,1,1,9
2,0.0,0,0.6033,1,-1,9
2,0.0,1,0.8736,1,1,9
2,0.5,1,1.0295,1,1,9
2,0.0,1,0.8696,1,1,9
2,0.0,0,1.0373,1,-1,9
2,0.5,1,0.9285,1,1,9
2,0.0,0,1.2699,1,-1,9
2,-1.5,0,0.6619,1,-1,9
2,0.0,1,1.1429,1,1,9
2,0.5,1,1.2135,-1,-1,10
2,0.0,0,1.3839,-1,1,10
2,0.0,1,0.8636,-1,-1,10
2,-1.5,0,0.8255,-1,1,10
2,0.0,1,0.9244,-1,-1,10
2,0.0,0,0.8843,-1,1,10
2,0.0,1,1.9999,-1,-1,10
2,0.0,1,0.9371,-1,-1,10
2,-0.5,0,0.7580,-1,1,10
2,1.5,1,1.0297,-1,-1,10
2,0.0,0,0.7629,-1,1,10
2,0.0,1,1.0590,-1,-1,10
2,0.0,0,0.9734,-1,1,10
2,0.0,1,1.3783,-1,-1,10
2,0.0,1,2.5458,-1,-1,10
2,0.0,1,0.8958,-1,-1,10
2,0.5,1,0.7489,-1,-1,10
2,0.0,0,0.8667,-1,1,10
2,0.0,0,1.4104,-1,1,10
2,0.0,1,0.8386,-1,-1,10
2,0.5,1,1.9345,-1,-1,10
2,0.0,1,1.5553,-1,-1,10
2,-1.5,0,0.5999,-1,1,10
2,-0.5,0,0.6345,-1,1,10
2,1.5,1,0.6591,-1,-1,10
2,0.0,0,1.0649,1,-1,11
2,-0.5,0,0.7231,1,-1,11
2,-0.5,1,1.6133,1,1,11
2,0.0,0,0.7038,1,-1,11
2,0.0,1,1.3093,1,1,11
2,-0.5,0,0.5477,1,-1,11
2,0.0,0,1.6142,1,-1,11
2,-1.5,0,0.6859,1,-1,11
2,-1.5,0,0.7386,1,-1,11
2,0.0,0,0.6437,1,-1,11
2,0.0,1,0.8043,1,1,11
2,0.0,0,0.8996,1,-1,11
2,0.0,1,1.2134,1,1,11
2,0.0,1,0.7637,1,1,11
2,0.0,1,1.4720,1,1,11
2,0.0,0,1.5741,1,-1,11
2,0.0,0,0.6516,1,-1,11
2,0.0,1,1.7773,1,1,11
2,0.0,1,1.3978,1,1,11
2,0.5,1,1.0565,1,1,11
2,0.5,1,0.7318,1,1,11
2,0.0,0,0.8242,1,-1,11
2,1.5,1,0.8119,1,1,11
2,0.0,0,1.5569,1,-1,11
2,1.5,1,0.7348,1,1,11
2,0.0,0,0.8647,0,0,12
2,0.5,0,1.3176,0,0,12
2,-1.5,0,0.6024,0,0,12
2,0.0,0,1.6655,0,0,12
2,1.5,1,0.6182,0,0,12
2,0.5,1,1.1147,0,0,12
2,1.5,1,0.7456,0,0,12
2,0.0,0,0.8399,0,0,12
2,0.0,0,1.1374,0,0,12
2,-1.5,0,0.6513,0,0,12
2,0.0,1,1.2011,0,0,12
2,-0.5,0,0.7647,0,0,12
2,-0.5,0,0.6886,0,0,12
2,0.0,0,0.9722,0,0,12
2,0.0,0,0.7222,0,0,12
2,0.0,0,1.0621,0,0,12
2,0.0,1,1.5391,0,0,12
2,0.0,1,0.9433,0,0,12
2,0.0,1,1.3010,0,0,12
2,0.0,0,1.4170,0,0,12
2,0.0,1,0.9908,0,0,12
2,0.0,0,0.7877,0,0,12
2,0.0,0,0.7755,0,0,12
2,0.5,1,0.7933,0,0,12
2,0.0,1,0.8835,0,0,12
3,0.0,1,1.5288,0,0,1
3,0.0,1,1.1613,0,0,1
3,0.0,0,2.4863,0,0,1
3,-1.5,0,0.7094,0,0,1
3,0.0,1,0.8596,0,0,1
3,0.5,1,0.8100,0,0,1
3,-0.5,0,1.4138,0,0,1
3,-1.5,0,0.8515,0,0,1
3,1.5,1,0.6860,0,0,1
3,0.0,1,1.9942,0,0,1
3,0.0,0,2.6413,0,0,1
3,0.0,0,1.2224,0,0,1
3,0.0,0,1.0769,0,0,1
3,0.0,0,2.6532,0,0,1
3,0.0,1,1.1494,0,0,1
3,1.5,1,1.0751,0,0,1
3,0.0,0,1.7703,0,0,1
3,0.5,1,0.8452,0,0,1
3,0.0,0,1.1790,0,0,1
3,0.0,0,0.7474,0,0,1
3,0.0,1,1.5171,0,0,1
3,0.0,0,2.2635,0,0,1
3,-0.5,0,1.2754,0,0,1
3,0.5,1,1.3472,0,0,1
3,0.0,0,0.9254,0,0,1
3,0.0,1,1.3102,-1,-1,2
3,0.0,1,0.9101,-1,-1,2
3,-1.5,0,0.7767,-1,1,2
3,0.0,0,1.9521,-1,1,2
3,0.5,1,1.2463,-1,-1,2
3,0.0,0,0.8717,-1,1,2
3,0.5,1,1.7588,-1,-1,2
3,-0.5,0,0.7597,-1,1,2
3,0.0,1,1.3655,-1,-1,2
3,0.0,0,2.5713,-1,1,2
3,0.0,1,1.5510,-1,-1,2
3,0.0,1,1.5843,-1,-1,2
3,1.5,1,0.9860,-1,-1,2
3,0.0,1,1.5795,-1,-1,2
3,0.0,1,0.9912,-1,-1,2
3,0.0,0,0.8701,-1,1,2
3,0.0,0,2.4519,-1,1,2
3,1.5,1,0.9731,-1,-1,2
3,0.5,1,1.0607,-1,-1,2
3,0.0,1,0.8459,-1,-1,2
3,-0.5,1,0.8878,-1,-1,2
3,-1.5,0,0.7627,-1,1,2
3,0.0,1,1.0770,-1,-1,2
3,0.0,0,2.4807,-1,1,2
3,0.0,0,1.4990,-1,1,2
3,-1.5,0,0.9566,1,-1,3
