subj_idx,stim,response,rt,condition,MotCon,pupil,baseline
1,1.5,0,0.8800,0,0,0.240,-1.142
1,-1.5,0,1.2176,0,0,0.172,0.419
1,0.0,1,1.4819,0,0,0.469,-0.262
1,0.0,1,1.5563,0,0,-0.552,-0.358
1,0.0,0,0.9269,0,0,0.115,-1.178
1,0.0,1,1.4391,0,0,0.671,-0.756
1,0.0,0,1.0048,0,0,-0.395,-0.943
1,0.0,0,0.9638,0,0,0.192,-2.418
1,0.5,1,1.2992,0,0,0.211,-2.823
1,0.0,0,1.6501,0,0,1.140,-2.986
1,0.0,0,1.5131,0,0,0.710,-0.730
1,0.0,0,2.2228,0,0,-1.110,0.261
1,0.0,0,1.6076,0,0,0.221,-1.049
1,0.5,1,1.6395,0,0,-0.584,-1.184
1,-1.5,0,0.7806,0,0,0.198,-1.573
1,0.0,0,1.1870,-1,1,0.125,-0.236
1,0.0,1,1.2193,-1,-1,-0.384,-0.343
1,0.5,1,0.9431,-1,-1,0.285,-0.440
1,-0.5,0,0.8693,-1,1,-0.071,0.310
1,0.0,0,0.6129,-1,1,-0.267,-1.682
1,0.0,1,0.9848,-1,-1,1.116,-1.211
1,-0.5,0,1.6647,-1,1,0.173,0.210
1,1.5,1,1.1835,-1,-1,-0.255,-0.122
1,0.0,1,1.1960,-1,-1,0.136,-0.805
1,0.5,1,0.8183,-1,-1,-0.205,-1.512
1,0.0,0,2.4309,-1,1,0.243,-1.016
1,0.0,0,1.0492,-1,1,-0.183,0.155
1,0.0,1,1.1332,-1,-1,-0.376,-0.964
1,0.0,0,0.8940,-1,1,-0.586,-2.318
1,0.0,1,1.5284,-1,-1,0.384,0.067
1,0.0,0,0.7368,-1,1,-0.058,0.702
1,0.0,0,0.7991,-1,1,0.470,-0.601
1,0.0,1,1.4188,-1,-1,0.287,-0.046
1,0.0,1,1.1407,-1,-1,-1.092,-2.106
1,0.0,1,1.0496,-1,-1,-0.395,-0.947
1,-1.5,0,1.5757,-1,1,-0.598,-1.928
1,1.5,1,1.5207,-1,-1,-0.133,-0.519
1,0.5,1,0.8448,-1,-1,0.381,-1.127
1,0.0,0,0.8542,-1,1,-0.053,-2.694
1,-1.5,0,0.7609,-1,1,-0.558,-2.935
2,0.0,1,0.6544,0,0,0.107,3.987
2,0.0,0,0.5600,0,0,0.091,3.850
